2026-04-28 17:57:22 [INFO] [reachability-metadata-manager] --- [START ANALYSIS: azure-native-spring-function] ---
2026-04-28 17:57:25 [INFO] [reachability-metadata-manager] [+] Dependency: jackson-databind:2.13.3 | Refl: 18 | Proxy: 0
2026-04-28 17:57:25 [INFO] [reachability-metadata-manager] [+] Dependency: jackson-annotations:2.13.3 | Refl: 2 | Proxy: 0
2026-04-28 17:57:29 [INFO] [reachability-metadata-manager] [+] Dependency: netty-common:4.1.77.Final | Refl: 750 | Proxy: 0
2026-04-28 17:57:30 [INFO] [reachability-metadata-manager] [+] Dependency: netty-transport:4.1.77.Final | Refl: 3 | Proxy: 0
2026-04-28 17:57:34 [INFO] [reachability-metadata-manager] [+] Dependency: netty-transport-classes-epoll:4.1.77.Final | Refl: 27 | Proxy: 0
2026-04-28 17:57:37 [INFO] [reachability-metadata-manager] [+] Dependency: reactor-core:3.4.18 | Refl: 3 | Proxy: 0
2026-04-28 17:57:40 [INFO] [reachability-metadata-manager] [+] Dependency: logback-classic:1.2.11 | Refl: 42 | Proxy: 0
2026-04-28 17:57:41 [INFO] [reachability-metadata-manager] [+] Dependency: logback-core:1.2.11 | Refl: 8 | Proxy: 0
2026-04-28 17:57:44 [INFO] [reachability-metadata-manager] [+] Dependency: slf4j-api:1.7.36 | Refl: 2 | Proxy: 0
2026-04-28 17:57:44 [INFO] [reachability-metadata-manager] --- [END OF ANALYSIS: 59 deps processed for azure-native-spring-function] ---
2026-04-28 17:59:18 [INFO] [reachability-metadata-manager] --- [START ANALYSIS: doom-graal] ---
2026-04-28 17:59:18 [INFO] [reachability-metadata-manager] --- [END OF ANALYSIS: 1 deps processed for doom-graal] ---
2026-04-28 17:59:56 [INFO] [reachability-metadata-manager] --- [START ANALYSIS: java-graalvm-start] ---
2026-04-28 18:00:02 [INFO] [reachability-metadata-manager] [+] Dependency: logback-classic:1.2.11 | Refl: 42 | Proxy: 0
2026-04-28 18:00:03 [INFO] [reachability-metadata-manager] [+] Dependency: logback-core:1.2.11 | Refl: 8 | Proxy: 0
2026-04-28 18:00:04 [INFO] [reachability-metadata-manager] [+] Dependency: jackson-databind:2.13.4.2 | Refl: 18 | Proxy: 0
2026-04-28 18:00:05 [INFO] [reachability-metadata-manager] [+] Dependency: jackson-annotations:2.13.4 | Refl: 2 | Proxy: 0
2026-04-28 18:00:07 [INFO] [reachability-metadata-manager] [+] Dependency: tomcat-embed-el:9.0.70 | Refl: 25 | Proxy: 0
2026-04-28 18:00:10 [INFO] [reachability-metadata-manager] [+] Dependency: thymeleaf:3.0.15.RELEASE | Refl: 59 | Proxy: 0
2026-04-28 18:00:11 [INFO] [reachability-metadata-manager] [+] Dependency: slf4j-api:1.7.36 | Refl: 2 | Proxy: 0
2026-04-28 18:00:14 [INFO] [reachability-metadata-manager] [+] Dependency: logback-classic:1.5.18 | Refl: 97 | Proxy: 0
2026-04-28 18:00:14 [INFO] [reachability-metadata-manager] [+] Dependency: logback-core:1.5.18 | Refl: 8 | Proxy: 0
2026-04-28 18:00:16 [INFO] [reachability-metadata-manager] [+] Dependency: thymeleaf-spring6:3.1.3.RELEASE | Refl: 4 | Proxy: 0
2026-04-28 18:00:16 [INFO] [reachability-metadata-manager] [+] Dependency: thymeleaf:3.1.3.RELEASE | Refl: 59 | Proxy: 0
2026-04-28 18:00:17 [INFO] [reachability-metadata-manager] [+] Dependency: slf4j-api:2.0.17 | Refl: 2 | Proxy: 0
2026-04-28 18:00:18 [INFO] [reachability-metadata-manager] [+] Dependency: jackson-databind:2.19.0 | Refl: 18 | Proxy: 0
2026-04-28 18:00:19 [INFO] [reachability-metadata-manager] [+] Dependency: jackson-annotations:2.19.0 | Refl: 2 | Proxy: 0
2026-04-28 18:00:22 [INFO] [reachability-metadata-manager] [+] Dependency: tomcat-embed-core:10.1.41 | Refl: 105 | Proxy: 0
2026-04-28 18:00:22 [INFO] [reachability-metadata-manager] [+] Dependency: tomcat-embed-el:10.1.41 | Refl: 25 | Proxy: 0
2026-04-28 18:00:27 [INFO] [reachability-metadata-manager] [+] Dependency: picocli:4.6.2 | Refl: 4 | Proxy: 0
2026-04-28 18:00:28 [INFO] [reachability-metadata-manager] [+] Dependency: jansi:1.18 | Refl: 6 | Proxy: 0
2026-04-28 18:00:28 [INFO] [reachability-metadata-manager] --- [END OF ANALYSIS: 102 deps processed for java-graalvm-start] ---
2026-04-28 18:01:35 [INFO] [reachability-metadata-manager] --- [START ANALYSIS: spring-boot-graalvm] ---
2026-04-28 18:01:35 [INFO] [reachability-metadata-manager] --- [END OF ANALYSIS: 0 deps processed for spring-boot-graalvm] ---
2026-04-28 18:17:09 [INFO] [reachability-metadata-manager] --- [START ANALYSIS: spring-native] ---
2026-04-28 18:17:11 [INFO] [reachability-metadata-manager] [+] Dependency: tomcat-embed-core:9.0.70 | Refl: 105 | Proxy: 0
