project_id,github_url,java_version,status,s3_path,error_detail,last_attempt
safetrade_client_service,https://github.com/sergio-oliveira-br/safetrade_client_service,,FAILED_MAVEN,,BOM/POM generation failed,2026-05-22 16:54:46
algo-struct,https://github.com/sergio-oliveira-br/algo-struct,,ANALYSED,s3://graphaot-research-staging/analysis/algo-struct/,,2026-05-22 16:50:06
algorithms-api-java,https://github.com/sergio-oliveira-br/algorithms-api-java,,ANALYSED,s3://graphaot-research-staging/analysis/algorithms-api-java/,,2026-05-22 17:09:50
StockWise,https://github.com/sergio-oliveira-br/StockWise,,ANALYSED,s3://graphaot-research-staging/analysis/StockWise/,,2026-05-22 17:10:26
sale-service,https://github.com/sergio-oliveira-br/sale-service,17,ANALYSED,s3://graphaot-research-staging/analysis/sale-service/,,2026-05-22 17:11:05
mini-erp,https://github.com/sergio-oliveira-br/mini-erp,17,ANALYSED,s3://graphaot-research-staging/analysis/mini-erp/,,2026-05-23 10:25:23
LabMQTT,https://github.com/sergio-oliveira-br/LabMQTT,,ANALYSED,s3://graphaot-research-staging/analysis/LabMQTT/,,2026-05-22 17:11:26
URLGeneratorApp,https://github.com/sergio-oliveira-br/Software-Development/tree/main/URLGeneratorApp,,FAILED_CLONE,,Git clone failed,2026-05-22 16:55:17
task-manager,https://github.com/sergio-oliveira-br/task-manager,,ANALYSED,s3://graphaot-research-staging/analysis/task-manager/,,2026-05-22 17:11:41
serverless-graalvm-demo,https://github.com/aws-samples/serverless-graalvm-demo,,ANALYSED,s3://graphaot-research-staging/analysis/serverless-graalvm-demo/,,2026-05-22 17:12:08
Software-Development,https://github.com/sergio-oliveira-br/Software-Development,,FAILED_MAVEN,,BOM/POM generation failed,2026-05-22 17:02:44
graal,https://github.com/oracle/graal,,FAILED_MAVEN,,BOM/POM generation failed,2026-05-22 16:56:07
doom-graal,https://github.com/stepstone-tech/doom-graalvm,19,ANALYSED,s3://graphaot-research-staging/analysis/doom-graal/,,2026-05-22 17:12:09
java-graalvm-start,https://github.com/westinyang/java-graalvm-start,,ANALYSED,s3://graphaot-research-staging/analysis/java-graalvm-start/,,2026-05-22 17:12:33
spring-boot-graalvm,https://github.com/jonashackt/spring-boot-graalvm,11,ANALYSED,s3://graphaot-research-staging/analysis/spring-boot-graalvm/,,2026-05-22 17:12:33
spring-native,https://github.com/spring-attic/spring-native,11,ANALYSED,s3://graphaot-research-staging/analysis/spring-native/,,2026-05-22 20:01:52
azure-native-spring-function,https://github.com/jdubois/azure-native-spring-function,17,ANALYSED,s3://graphaot-research-staging/analysis/azure-native-spring-function/,,2026-05-22 17:16:13
native-aws-fargate,https://github.com/graalvm/graalvm-demos/tree/master/native-image/clouds/native-aws-fargate,17,FAILED_CLONE,,Git clone failed,2026-05-22 16:57:20
master,https://github.com/graalvm/graalvm-demos/tree/master,,FAILED_CLONE,,Git clone failed,2026-05-22 16:57:21
piggymetrics,https://github.com/sqshq/piggymetrics,,ANALYSED,s3://graphaot-research-staging/analysis/piggymetrics/,,2026-05-22 17:17:24
SpringBootForBeginners,https://github.com/in28minutes/SpringBootForBeginners,,ANALYSED,s3://graphaot-research-staging/analysis/SpringBootForBeginners/,,2026-05-22 17:17:42
spring-cloud-gateway,https://github.com/spring-cloud/spring-cloud-gateway,,ANALYSED,s3://graphaot-research-staging/analysis/spring-cloud-gateway/,,2026-05-22 17:18:51
jnativehook,https://github.com/kwhat/jnativehook,,ANALYSED,s3://graphaot-research-staging/analysis/jnativehook/,,2026-05-22 17:18:51
hawtjni,https://github.com/fusesource/hawtjni,,ANALYSED,s3://graphaot-research-staging/analysis/hawtjni/,,2026-05-22 17:19:07
whisper-jni,https://github.com/GiviMAD/whisper-jni,,ANALYSED,s3://graphaot-research-staging/analysis/whisper-jni/,,2026-05-22 16:51:08
javacpp,https://github.com/bytedeco/javacpp,,FAILED_MAVEN,,BOM/POM generation failed,2026-05-22 16:58:18
jni-faiss,https://github.com/gameofdimension/jni-faiss,,ANALYSED,s3://graphaot-research-staging/analysis/jni-faiss/,,2026-05-22 16:51:59
TheAlgorithms_java,https://github.com/TheAlgorithms/Java,,ANALYSED,s3://graphaot-research-staging/analysis/TheAlgorithms_java/,,2026-05-22 17:19:08
kubernetes-client_java,https://github.com/kubernetes-client/java,,ANALYSED,s3://graphaot-research-staging/analysis/kubernetes-client_java/,,2026-05-22 17:19:54
json-iterator_java,https://github.com/json-iterator/java,,ANALYSED,s3://graphaot-research-staging/analysis/json-iterator_java/,,2026-05-22 17:19:56
pom-manipulation-ext,https://github.com/project-ncl/pom-manipulation-ext,,FAILED_MAVEN,,BOM/POM generation failed,2026-05-22 16:58:46
resolver,https://github.com/airlift/resolver,,ANALYSED,s3://graphaot-research-staging/analysis/resolver/,,2026-05-23 10:02:47
Maven-Web-Application,https://github.com/MithunTechnologiesDevOps/Maven-Web-Application,,ANALYSED,s3://graphaot-research-staging/analysis/Maven-Web-Application/,,2026-05-22 17:20:11
